from;to;distance_m;oneway;highway;name
27286555;4622395517;6.16;1;residential;Rue Albert Samain
4622395517;4622395518;82.49;1;residential;Rue Albert Samain
4622395518;11306165974;1.35;1;residential;Rue Albert Samain
11306165974;11306165971;2.64;1;residential;Rue Albert Samain
11306165971;11306165972;1.28;1;residential;Rue Albert Samain
11306165972;11306165973;1.86;1;residential;Rue Albert Samain
11306165973;27286553;1.82;1;residential;Rue Albert Samain
663240085;3039793992;9.82;1;residential;Boulevard Berthier
3039793992;27286556;4.76;1;residential;Boulevard Berthier
27286556;4622395516;41.90;1;residential;Boulevard Berthier
4622395516;27286555;8.38;1;residential;Boulevard Berthier
27286563;8143453824;10.14;1;residential;Rue Catulle Mendès
8143453824;4622395522;41.50;1;residential;Rue Catulle Mendès
4622395522;27286560;9.02;1;residential;Rue Catulle Mendès
27286560;11307709069;62.55;1;residential;Rue Catulle Mendès
11307709069;11957584941;13.62;1;residential;Rue Catulle Mendès
11957584941;11307708986;7.63;1;residential;Rue Catulle Mendès
11307708986;27286551;2.81;1;residential;Rue Catulle Mendès
27286564;1363278462;10.26;1;residential;Rue Jean Moréas
1363278462;4622395521;114.50;1;residential;Rue Jean Moréas
4622395521;11306138437;2.83;1;residential;Rue Jean Moréas
11306138437;11306138436;2.03;1;residential;Rue Jean Moréas
