id;lat;lon
251825732;48.9043142;2.2843709
251825733;48.9038817;2.2837443
251825734;48.9050029;2.2822802
251825979;48.9016662;2.2792908
253862592;48.8896408;2.2766650
253862672;48.8875270;2.2785339
253862919;48.8898191;2.2765202
253864494;48.8895474;2.2763794
253864495;48.8915587;2.2724469
254172109;48.9031822;2.2791028
254172118;48.9021209;2.2767926
254172120;48.9017554;2.2761590
254172623;48.9025554;2.2796186
254172698;48.9030356;2.2809365
254986552;48.8890405;2.2665873
255002566;48.8903567;2.2794504
255002640;48.8883535;2.2815908
255003066;48.8918596;2.2778878
255003067;48.8914709;2.2773334
255003068;48.8908336;2.2756568
255003105;48.8905240;2.2743600
255003106;48.8912441;2.2752892
255161477;48.8906153;2.2863945
255161503;48.8940893;2.2728326
255161687;48.8938088;2.2834836
255161696;48.8899839;2.2849748
255162296;48.8906950;2.2916066
255163362;48.8925318;2.2794807
265603264;48.9030621;2.2700384
265604537;48.9011330;2.2712709
265622997;48.9050581;2.2691240
265625378;48.9006731;2.2702106
265631244;48.9064470;2.2737036
268126766;48.8959197;2.2964680
268126769;48.8935373;2.2995078
268126770;48.8955214;2.2968684
268127165;48.8889392;2.2905815
268127166;48.8890477;2.2904749
268127167;48.8898058;2.2910850
268127168;48.8910717;2.2922753
268127169;48.8916238;2.2928475
268127170;48.8922181;2.2934557
268127171;48.8939953;2.2952898
268127172;48.8945181;2.2958280
268127297;48.8952540;2.2948828
268127325;48.8956001;2.2957237
268127403;48.8949096;2.2940967
268127576;48.8989304;2.2910553
268127578;48.8997123;2.2904653
268127670;48.8993366;2.2890392
268127671;48.8985336;2.2930481
268127717;48.8990893;2.2892092
268128082;48.8953614;2.2922668
268128171;48.8959708;2.2902521
268128172;48.8963828;2.2914797
268128173;48.8967640;2.2927001
268128174;48.8975202;2.2950276
268128437;48.8989394;2.2877154
268128438;48.8986629;2.2868040
268128439;48.8984681;2.2861697
268128441;48.8976754;2.2839415
268128442;48.8969696;2.2819450
268128443;48.8965740;2.2809747
268128555;48.9011280;2.2850024
268128674;48.8997688;2.2851930
268128768;48.9001603;2.2848979
268128769;48.9003714;2.2854987
268128945;48.8954274;2.2885467
268128946;48.8932878;2.2903837
268129104;48.9008488;2.2843895
268129105;48.8992792;2.2855715
268129107;48.8942038;2.2896017
268129174;48.8936153;2.2911273
268129655;48.8999374;2.2857223
268129656;48.8956862;2.2893572
268129909;48.8930770;2.2927289
268130247;48.8945254;2.2903375
268130292;48.8924545;2.2911077
268130293;48.8927504;2.2918720
268130824;48.8925251;2.2886155
268130896;48.8917568;2.2893116
268130897;48.8902472;2.2906750
268131300;48.8898026;2.2897782
268131465;48.8931755;2.2854085
268131466;48.8935567;2.2863688
268133515;48.8938544;2.2887554
268137684;48.8913817;2.2883439
268138877;48.8939784;2.2859928
268138878;48.8947534;2.2879580
268138879;48.8930485;2.2868411
268138922;48.8934459;2.2877881
268138988;48.8939403;2.2873394
268139176;48.8943312;2.2883261
268139361;48.8909778;2.2900234
268139362;48.8905910;2.2890645
268139927;48.8902478;2.2795667
268139929;48.8916670;2.2835909
268139930;48.8908089;2.2811590
268140434;48.8864317;2.2854584
268140568;48.8875688;2.2877918
268140584;48.8891270;2.2832123
268140723;48.8913659;2.2827422
268140724;48.8880501;2.2861861
268140726;48.8904201;2.2836489
268140727;48.8896439;2.2842886
268140786;48.8930353;2.2810766
268140933;48.8867536;2.2834803
268140998;48.8908936;2.2832162
268141017;48.8903193;2.2817567
268141018;48.8896913;2.2801614
268141185;48.8958965;2.2798543
268141275;48.8949226;2.2781804
268141276;48.8943390;2.2767661
268141277;48.8934147;2.2762722
268141435;48.8962690;2.2749745
268141503;48.8953818;2.2789601
268141504;48.8980090;2.2769154
268141505;48.8980985;2.2769533
268141506;48.8982066;2.2770712
268142052;48.8976827;2.2756704
268142103;48.8968362;2.2764382
268142145;48.8959353;2.2785065
268142263;48.8955670;2.2775683
268142264;48.8950068;2.2761275
268142307;48.8953976;2.2757595
268142351;48.8970907;2.2762232
268142385;48.8975354;2.2772400
268142465;48.8971834;2.2775271
268142600;48.8980408;2.2796301
268142678;48.8977397;2.2799057
268142679;48.8979167;2.2803229
268142680;48.8976965;2.2812665
268142743;48.8982068;2.2800680
268142777;48.8973333;2.2829721
268143075;48.8964216;2.2850716
268143087;48.8984374;2.2833724
268143088;48.8991693;2.2837553
268143089;48.8993024;2.2841791
268143188;48.8994373;2.2835354
